,clas,clas_t,reg,reg_T
624,[[0.02948124 0.5249167  0.44560203]],[[0. 0. 1.]],[[48.122276]],[84]
625,[[0.14126097 0.44931686 0.4094222 ]],[[0. 1. 0.]],[[23.099892]],[12]
626,[[0.1285895  0.4456016  0.42580888]],[[0. 1. 0.]],[[24.155315]],[24]
627,[[0.1226989  0.46851775 0.4087833 ]],[[0. 0. 1.]],[[25.482414]],[24]
628,[[0.16568443 0.4354129  0.3989026 ]],[[0. 0. 1.]],[[21.433208]],[40]
629,[[0.12398364 0.44435313 0.4316632 ]],[[0. 0. 1.]],[[24.852386]],[12]
630,[[0.17718334 0.4238176  0.39899904]],[[1. 0. 0.]],[[19.235409]],[0]
631,[[0.03839117 0.5108787  0.45073012]],[[0. 1. 0.]],[[41.497387]],[12]
632,[[0.22218734 0.40307647 0.37473622]],[[1. 0. 0.]],[[16.94236]],[0]
633,[[0.11310291 0.45842463 0.4284724 ]],[[0. 1. 0.]],[[26.61678]],[18]
634,[[0.33107898 0.32063773 0.3482833 ]],[[1. 0. 0.]],[[18.176754]],[0]
635,[[0.95499724 0.02100392 0.02399885]],[[1. 0. 0.]],[[-1.]],[0]
636,[[0.07627467 0.49313354 0.43059182]],[[0. 1. 0.]],[[31.946463]],[14]
637,[[0.11694714 0.46467158 0.41838127]],[[0. 0. 1.]],[[26.984497]],[16]
638,[[0.08865017 0.47528693 0.43606287]],[[0. 1. 0.]],[[28.934975]],[32]
639,[[0.04982148 0.48059314 0.46958536]],[[0. 0. 1.]],[[40.922718]],[66]
640,[[0.17476615 0.4321639  0.39306992]],[[0. 1. 0.]],[[20.372812]],[12]
641,[[0.03221845 0.48514852 0.48263296]],[[0. 0. 1.]],[[50.852962]],[20]
642,[[0.11142774 0.46478677 0.42378548]],[[0. 1. 0.]],[[26.083563]],[28]
643,[[0.11122081 0.47579324 0.41298598]],[[0. 1. 0.]],[[27.213657]],[40]
644,[[0.2593926  0.3767588  0.36384863]],[[1. 0. 0.]],[[13.334147]],[0]
645,[[0.05637815 0.514342   0.42927977]],[[0. 0. 1.]],[[34.89687]],[84]
646,[[0.73781115 0.12985699 0.13233188]],[[1. 0. 0.]],[[-0.9999937]],[0]
647,[[0.13134335 0.45305133 0.41560537]],[[0. 1. 0.]],[[25.162462]],[24]
648,[[0.13676679 0.44840437 0.41482887]],[[1. 0. 0.]],[[25.027254]],[0]
649,[[0.10602839 0.47176892 0.42220265]],[[0. 0. 1.]],[[28.522861]],[12]
650,[[0.097688   0.47235498 0.42995703]],[[0. 0. 1.]],[[29.83693]],[23]
651,[[0.13944046 0.4551273  0.40543222]],[[0. 1. 0.]],[[22.363848]],[38]
652,[[0.05677731 0.47328755 0.46993515]],[[0. 0. 1.]],[[39.86364]],[40]
653,[[0.6907762  0.15982045 0.14940341]],[[1. 0. 0.]],[[-0.99942213]],[0]
654,[[0.10381003 0.50562817 0.39056182]],[[0. 1. 0.]],[[27.726164]],[16]
655,[[0.11063829 0.46567872 0.42368296]],[[0. 0. 1.]],[[27.46914]],[28]
656,[[0.9854929  0.00667899 0.00782819]],[[1. 0. 0.]],[[-1.]],[0]
657,[[0.09838794 0.47364098 0.4279711 ]],[[0. 1. 0.]],[[30.25147]],[36]
658,[[0.11884435 0.4520297  0.429126  ]],[[0. 1. 0.]],[[26.772541]],[24]
659,[[0.94082826 0.0272615  0.03191029]],[[1. 0. 0.]],[[-1.]],[0]
660,[[0.5627944  0.22197145 0.21523415]],[[1. 0. 0.]],[[-0.21986663]],[0]
661,[[0.06534061 0.46917537 0.46548396]],[[0. 1. 0.]],[[37.727695]],[40]
662,[[0.04430159 0.48535517 0.4703432 ]],[[1. 0. 0.]],[[41.304516]],[0]
663,[[0.134203   0.45477808 0.4110189 ]],[[1. 0. 0.]],[[24.25963]],[0]
664,[[0.10053685 0.46846008 0.43100303]],[[0. 1. 0.]],[[28.054817]],[12]
665,[[0.07149323 0.47290626 0.45560047]],[[0. 1. 0.]],[[34.98872]],[78]
666,[[0.04937401 0.4864193  0.46420667]],[[0. 0. 1.]],[[42.70975]],[28]
667,[[0.57178086 0.21256743 0.21565169]],[[1. 0. 0.]],[[0.52079743]],[0]
668,[[0.32022455 0.3511655  0.32860985]],[[0. 0. 1.]],[[10.6457815]],[8]
669,[[0.8927442  0.05326717 0.05398867]],[[1. 0. 0.]],[[-1.]],[0]
670,[[0.08751404 0.47767198 0.43481398]],[[0. 0. 1.]],[[29.898296]],[36]
671,[[0.08386388 0.4738054  0.44233075]],[[0. 1. 0.]],[[31.263714]],[32]
672,[[0.10108427 0.49251857 0.40639707]],[[0. 0. 1.]],[[28.14448]],[20]
673,[[0.05942144 0.50859916 0.4319794 ]],[[0. 1. 0.]],[[36.182426]],[34]
674,[[0.19539058 0.41773897 0.3868705 ]],[[0. 0. 1.]],[[18.80069]],[14]
675,[[0.04762136 0.48737863 0.46499997]],[[0. 0. 1.]],[[36.91747]],[28]
676,[[0.03371358 0.4835084  0.48277798]],[[0. 1. 0.]],[[48.405125]],[80]
677,[[0.30194443 0.3581187  0.33993688]],[[0. 0. 1.]],[[11.821201]],[8]
678,[[0.17223419 0.43274617 0.3950196 ]],[[0. 1. 0.]],[[23.012756]],[24]
679,[[0.14137837 0.4409889  0.41763273]],[[0. 1. 0.]],[[24.55457]],[24]
680,[[0.197951   0.42408773 0.3779613 ]],[[0. 0. 1.]],[[17.827164]],[28]
681,[[0.836861   0.08158785 0.08155112]],[[1. 0. 0.]],[[-0.9999767]],[0]
682,[[0.73719    0.15389617 0.10891387]],[[1. 0. 0.]],[[-0.9999991]],[0]
683,[[0.06342542 0.48036906 0.45620552]],[[0. 1. 0.]],[[34.21754]],[24]
684,[[0.06690678 0.47939137 0.45370185]],[[0. 1. 0.]],[[37.579987]],[30]
685,[[0.3375489  0.37194586 0.29050523]],[[0. 0. 1.]],[[8.139837]],[8]
686,[[0.29673687 0.37189224 0.3313709 ]],[[0. 1. 0.]],[[13.125452]],[32]
687,[[0.1766538  0.42753735 0.39580885]],[[1. 0. 0.]],[[20.097498]],[0]
688,[[0.18822429 0.4179107  0.39386502]],[[0. 1. 0.]],[[18.06328]],[24]
689,[[0.09050853 0.47107342 0.43841812]],[[0. 1. 0.]],[[29.455172]],[36]
690,[[0.10300499 0.4771876  0.4198074 ]],[[0. 0. 1.]],[[26.01734]],[20]
691,[[0.9243142  0.03404029 0.04164551]],[[1. 0. 0.]],[[-1.]],[0]
692,[[0.19544744 0.4376674  0.36688522]],[[0. 0. 1.]],[[20.18927]],[56]
693,[[0.12662272 0.4539894  0.41938788]],[[0. 1. 0.]],[[25.287985]],[38]
694,[[0.07441364 0.48003116 0.44555518]],[[1. 0. 0.]],[[34.42237]],[0]
695,[[0.1480818  0.44359487 0.40832332]],[[1. 0. 0.]],[[22.940931]],[0]
696,[[0.24991596 0.38074437 0.36933967]],[[0. 0. 1.]],[[14.088661]],[28]
697,[[0.05970792 0.47873986 0.4615522 ]],[[0. 0. 1.]],[[39.579052]],[40]
698,[[0.09810133 0.46273234 0.4391664 ]],[[0. 0. 1.]],[[27.857868]],[20]
699,[[0.5287526  0.2347434  0.23650394]],[[0. 0. 1.]],[[5.2003193]],[16]
700,[[0.92846215 0.03154087 0.03999699]],[[1. 0. 0.]],[[-0.99999994]],[0]
701,[[0.906499   0.04277107 0.05072986]],[[1. 0. 0.]],[[-0.99999976]],[0]
702,[[0.8241609  0.08520342 0.09063569]],[[1. 0. 0.]],[[-0.9999968]],[0]
703,[[0.8780253  0.04288873 0.07908589]],[[1. 0. 0.]],[[-1.]],[0]
704,[[0.9968449  0.00192877 0.00122637]],[[1. 0. 0.]],[[-1.]],[0]
705,[[0.03845081 0.4956983  0.46585086]],[[0. 1. 0.]],[[49.716007]],[28]
706,[[0.23340563 0.38784254 0.37875178]],[[1. 0. 0.]],[[16.162577]],[0]
707,[[0.01705953 0.61226827 0.37067226]],[[0. 1. 0.]],[[53.69703]],[66]
708,[[0.12313834 0.4703564  0.4065053 ]],[[0. 1. 0.]],[[26.784748]],[8]
709,[[0.8944143  0.05240279 0.05318285]],[[1. 0. 0.]],[[-1.]],[0]
710,[[0.07336729 0.49281695 0.43381572]],[[0. 1. 0.]],[[32.581703]],[28]
711,[[0.11211941 0.4724862  0.41539437]],[[0. 0. 1.]],[[26.843678]],[32]
712,[[0.03763277 0.5328964  0.42947084]],[[0. 0. 1.]],[[42.87261]],[32]
713,[[0.11514537 0.4656897  0.4191649 ]],[[0. 1. 0.]],[[26.386478]],[24]
714,[[0.11032955 0.45864883 0.43102172]],[[0. 0. 1.]],[[27.673119]],[18]
715,[[0.29437777 0.3566528  0.34896943]],[[0. 0. 1.]],[[11.456351]],[10]
716,[[0.14485018 0.46041316 0.39473674]],[[0. 1. 0.]],[[24.431416]],[14]
717,[[0.28710547 0.36913988 0.34375465]],[[0. 1. 0.]],[[10.706378]],[8]
718,[[0.09050167 0.48965198 0.41984636]],[[0. 1. 0.]],[[29.788233]],[34]
719,[[0.04834388 0.5175065  0.4341497 ]],[[0. 1. 0.]],[[38.267662]],[48]
720,[[0.03486536 0.5024621  0.4626726 ]],[[0. 1. 0.]],[[44.83808]],[68]
721,[[0.28187606 0.3576023  0.3605216 ]],[[0. 0. 1.]],[[11.897907]],[32]
722,[[0.08697289 0.49994665 0.4130804 ]],[[0. 0. 1.]],[[30.640942]],[28]
723,[[0.11635181 0.47011253 0.41353565]],[[0. 1. 0.]],[[27.148777]],[24]
724,[[0.02441331 0.54970324 0.42588344]],[[0. 1. 0.]],[[47.084408]],[26]
725,[[0.0524714  0.47652966 0.47099897]],[[0. 1. 0.]],[[41.36461]],[80]
726,[[0.03271079 0.5208482  0.44644102]],[[0. 0. 1.]],[[47.69896]],[20]
727,[[0.74510586 0.11686918 0.13802497]],[[0. 1. 0.]],[[-0.9999637]],[4]
728,[[0.97373825 0.01219523 0.01406649]],[[1. 0. 0.]],[[-1.]],[0]
729,[[0.16162884 0.4317321  0.40663916]],[[0. 0. 1.]],[[20.39302]],[16]
730,[[0.1570905  0.4334438  0.40946573]],[[0. 0. 1.]],[[22.146154]],[12]
731,[[0.96109146 0.01789234 0.02101623]],[[1. 0. 0.]],[[-1.]],[0]
732,[[0.0513548  0.47927338 0.46937183]],[[0. 0. 1.]],[[39.891148]],[32]
733,[[0.02560744 0.48866948 0.48572308]],[[0. 0. 1.]],[[54.504417]],[54]
734,[[0.14975637 0.43761784 0.41262576]],[[0. 0. 1.]],[[22.529144]],[14]
735,[[0.05812122 0.5048949  0.43698385]],[[0. 0. 1.]],[[35.547604]],[16]
736,[[0.2931343  0.36417305 0.3426926 ]],[[0. 0. 1.]],[[11.072361]],[8]
737,[[0.17152879 0.41325834 0.41521287]],[[0. 1. 0.]],[[17.090082]],[16]
738,[[0.1393483  0.44533283 0.4153189 ]],[[1. 0. 0.]],[[23.726057]],[0]
739,[[0.094937   0.47499394 0.43006903]],[[0. 1. 0.]],[[29.39324]],[24]
740,[[0.9968449  0.00192877 0.00122637]],[[1. 0. 0.]],[[-1.]],[0]
741,[[0.83029085 0.08306494 0.08664415]],[[1. 0. 0.]],[[-0.99995404]],[0]
742,[[0.9503295  0.01782796 0.03184251]],[[1. 0. 0.]],[[-1.]],[0]
743,[[0.15541862 0.3705751  0.47400635]],[[1. 0. 0.]],[[-0.99764943]],[0]
744,[[0.770875   0.08736794 0.14175707]],[[0. 0. 1.]],[[-1.]],[4]
745,[[9.9929428e-01 1.7177827e-04 5.3394993e-04]],[[1. 0. 0.]],[[-1.]],[0]
746,[[0.11445604 0.4687053  0.41683868]],[[0. 1. 0.]],[[27.356335]],[38]
747,[[0.06452099 0.4768138  0.45866525]],[[0. 0. 1.]],[[36.48689]],[40]
748,[[0.72735053 0.14021315 0.13243635]],[[1. 0. 0.]],[[-0.99985117]],[0]
749,[[0.12875299 0.44545108 0.4257959 ]],[[0. 1. 0.]],[[24.682838]],[20]
750,[[0.1115443  0.46621022 0.42224547]],[[0. 1. 0.]],[[28.293549]],[26]
751,[[0.03933947 0.5313532  0.42930734]],[[0. 0. 1.]],[[41.693398]],[92]
752,[[0.08442394 0.46444505 0.45113102]],[[1. 0. 0.]],[[32.595]],[0]
753,[[0.36732787 0.31482732 0.3178448 ]],[[1. 0. 0.]],[[16.203354]],[0]
754,[[0.78806514 0.08800175 0.12393311]],[[1. 0. 0.]],[[-1.]],[0]
755,[[0.6321921  0.1799654  0.18784246]],[[1. 0. 0.]],[[2.8345382]],[0]
756,[[0.04279255 0.4987978  0.45840964]],[[0. 1. 0.]],[[40.64265]],[27]
757,[[0.0314761 0.5170874 0.4514365]],[[0. 1. 0.]],[[43.66667]],[38]
758,[[0.04678478 0.526889   0.42632616]],[[0. 0. 1.]],[[38.150337]],[80]
759,[[0.06963687 0.47993937 0.45042375]],[[0. 1. 0.]],[[34.95655]],[20]
760,[[0.3296934 0.3686024 0.3017042]],[[1. 0. 0.]],[[10.33921]],[0]
761,[[0.05692334 0.48878095 0.4542957 ]],[[1. 0. 0.]],[[39.296383]],[0]
762,[[0.5185062  0.22728182 0.25421196]],[[1. 0. 0.]],[[10.953621]],[0]
763,[[0.08626634 0.47258282 0.44115084]],[[0. 0. 1.]],[[31.60912]],[40]
764,[[0.21916738 0.40376505 0.37706757]],[[0. 1. 0.]],[[20.52906]],[52]
765,[[0.19270949 0.44529742 0.3619931 ]],[[1. 0. 0.]],[[19.021036]],[0]
766,[[0.09996813 0.46217626 0.43785563]],[[0. 0. 1.]],[[29.270174]],[18]
767,[[0.07700897 0.47544494 0.44754615]],[[1. 0. 0.]],[[33.787407]],[0]
768,[[0.19598407 0.41322032 0.3907956 ]],[[0. 0. 1.]],[[19.045317]],[14]
769,[[0.8921269  0.0584632  0.04940996]],[[0. 1. 0.]],[[-0.9999988]],[14]
770,[[0.13843338 0.44709313 0.4144735 ]],[[0. 1. 0.]],[[25.18382]],[10]
771,[[0.04849444 0.5172151  0.4342905 ]],[[0. 0. 1.]],[[40.273956]],[36]
772,[[0.7903735  0.10048549 0.10914096]],[[1. 0. 0.]],[[-0.99816144]],[0]
773,[[0.1269435  0.46201217 0.41104433]],[[1. 0. 0.]],[[25.333824]],[0]
774,[[0.05338778 0.48093084 0.4656814 ]],[[0. 1. 0.]],[[40.98633]],[64]
775,[[0.9949846  0.00197864 0.00303663]],[[1. 0. 0.]],[[-1.]],[0]
776,[[0.06811137 0.4932102  0.4386785 ]],[[0. 1. 0.]],[[33.4996]],[22]
777,[[0.09361503 0.4757724  0.4306126 ]],[[0. 1. 0.]],[[30.11802]],[44]
778,[[0.18115555 0.44497225 0.37387216]],[[0. 1. 0.]],[[20.624914]],[28]
779,[[0.00910531 0.4895382  0.50135654]],[[0. 1. 0.]],[[74.2382]],[112]
780,[[0.1239038  0.45131043 0.42478582]],[[0. 0. 1.]],[[26.154852]],[18]
781,[[0.08117229 0.46840847 0.45041922]],[[0. 1. 0.]],[[31.059748]],[23]
782,[[0.198262   0.43546036 0.36627766]],[[0. 0. 1.]],[[19.264582]],[28]
783,[[0.11446166 0.46344027 0.422098  ]],[[0. 1. 0.]],[[26.561125]],[16]
784,[[0.6254072  0.19293603 0.1816567 ]],[[1. 0. 0.]],[[-0.9772757]],[0]
785,[[0.81718487 0.09719238 0.08562274]],[[1. 0. 0.]],[[-0.99999976]],[0]
786,[[0.07078406 0.47546706 0.4537489 ]],[[0. 0. 1.]],[[35.052307]],[28]
787,[[0.06488975 0.48287213 0.45223814]],[[0. 0. 1.]],[[33.29811]],[40]
788,[[0.07806963 0.46984553 0.4520848 ]],[[0. 0. 1.]],[[33.000614]],[32]
789,[[0.05824146 0.48411986 0.4576386 ]],[[0. 1. 0.]],[[36.94178]],[28]
790,[[0.09671167 0.4936063  0.40968198]],[[1. 0. 0.]],[[29.41887]],[0]
791,[[0.01933594 0.49231857 0.48834553]],[[0. 1. 0.]],[[62.054363]],[40]
792,[[0.14064217 0.44507617 0.41428164]],[[0. 1. 0.]],[[29.281824]],[64]
793,[[0.13134687 0.44797152 0.42068163]],[[0. 1. 0.]],[[25.86337]],[28]
794,[[0.9435821  0.02487128 0.03154662]],[[1. 0. 0.]],[[-1.]],[0]
795,[[0.48990214 0.21105014 0.29904765]],[[1. 0. 0.]],[[-1.]],[0]
796,[[0.00865847 0.54517126 0.4461703 ]],[[1. 0. 0.]],[[60.859406]],[0]
797,[[0.9359272  0.02911999 0.03495279]],[[1. 0. 0.]],[[-1.]],[0]
798,[[0.5426913  0.23905648 0.21825224]],[[0. 0. 1.]],[[2.414541]],[20]
799,[[9.9999964e-01 5.1582912e-08 3.7549651e-07]],[[1. 0. 0.]],[[-1.]],[0]
800,[[0.7235169  0.14463891 0.13184427]],[[1. 0. 0.]],[[-0.99774754]],[0]
801,[[0.24557191 0.3856502  0.36877784]],[[0. 0. 1.]],[[15.374687]],[14]
802,[[0.7116793 0.1278504 0.1604704]],[[0. 0. 1.]],[[-1.]],[10]
803,[[0.8807145  0.05931076 0.05997475]],[[1. 0. 0.]],[[-1.]],[0]
804,[[0.09208169 0.4731704  0.4347479 ]],[[0. 1. 0.]],[[31.962162]],[38]
805,[[0.06503415 0.47469392 0.46027195]],[[0. 1. 0.]],[[36.244514]],[20]
806,[[0.06610459 0.4732546  0.46064073]],[[0. 0. 1.]],[[38.777874]],[26]
807,[[0.13889417 0.4603895  0.40071627]],[[0. 1. 0.]],[[23.096605]],[14]
808,[[0.05788461 0.48157108 0.4605443 ]],[[0. 1. 0.]],[[38.517056]],[36]
809,[[0.02487087 0.5494941  0.42563504]],[[0. 1. 0.]],[[49.691696]],[14]
810,[[0.9368602  0.03022703 0.03291266]],[[1. 0. 0.]],[[-1.]],[0]
811,[[0.14249742 0.44891903 0.40858352]],[[0. 1. 0.]],[[23.878445]],[28]
812,[[0.08626634 0.47258282 0.44115084]],[[0. 0. 1.]],[[31.60912]],[30]
813,[[0.09484048 0.46834773 0.43681175]],[[0. 0. 1.]],[[29.36426]],[10]
814,[[0.19268447 0.42559648 0.38171902]],[[0. 1. 0.]],[[20.169857]],[10]
815,[[0.26023597 0.3828902  0.3568738 ]],[[0. 1. 0.]],[[15.214638]],[42]
816,[[0.2649664  0.38339072 0.35164288]],[[0. 0. 1.]],[[14.762442]],[8]
817,[[0.03581881 0.48987845 0.47430277]],[[0. 1. 0.]],[[43.0673]],[64]
818,[[0.08629341 0.46324104 0.45046547]],[[0. 0. 1.]],[[30.5813]],[24]
819,[[0.9110779  0.03956332 0.0493588 ]],[[1. 0. 0.]],[[-1.]],[0]
820,[[0.05804976 0.5038804  0.43806985]],[[0. 1. 0.]],[[34.634953]],[44]
821,[[0.14960381 0.43490514 0.41549107]],[[0. 0. 1.]],[[23.352047]],[14]
822,[[0.9179727  0.04001977 0.0420076 ]],[[1. 0. 0.]],[[-1.]],[0]
823,[[0.00231193 0.54643273 0.45125535]],[[0. 1. 0.]],[[80.60057]],[28]
824,[[0.1043087  0.4575562  0.43813518]],[[0. 1. 0.]],[[28.238483]],[28]
825,[[0.1153344  0.46564627 0.4190194 ]],[[0. 1. 0.]],[[26.481012]],[30]
826,[[0.7347519  0.12966704 0.13558108]],[[1. 0. 0.]],[[-0.9872777]],[0]
827,[[0.14012165 0.44633597 0.4135424 ]],[[0. 0. 1.]],[[25.205317]],[24]
828,[[0.09148937 0.47771186 0.43079874]],[[0. 1. 0.]],[[30.014803]],[16]
829,[[0.11977332 0.44438154 0.43584517]],[[1. 0. 0.]],[[25.25489]],[0]
830,[[0.64723194 0.15734763 0.1954205 ]],[[0. 1. 0.]],[[-1.]],[13]
831,[[0.11228673 0.4737892  0.41392404]],[[0. 1. 0.]],[[27.386833]],[16]
832,[[0.11324983 0.46077293 0.42597726]],[[0. 0. 1.]],[[26.828478]],[36]
833,[[0.05507858 0.49953213 0.44538927]],[[0. 0. 1.]],[[36.248756]],[18]
834,[[0.05328049 0.50584203 0.4408775 ]],[[0. 1. 0.]],[[37.25765]],[24]
835,[[0.9599149  0.01698995 0.02309515]],[[1. 0. 0.]],[[-1.]],[0]
836,[[0.09782732 0.49792936 0.40424338]],[[0. 1. 0.]],[[29.01324]],[28]
837,[[0.9566458  0.02043424 0.02291993]],[[1. 0. 0.]],[[-1.]],[0]
838,[[0.10706846 0.4667691  0.42616242]],[[0. 1. 0.]],[[27.0232]],[14]
839,[[0.08217385 0.47221926 0.44560683]],[[0. 1. 0.]],[[32.96442]],[48]
840,[[0.07567917 0.4769692  0.4473516 ]],[[0. 1. 0.]],[[32.007835]],[42]
841,[[0.08618719 0.49830803 0.4155048 ]],[[0. 0. 1.]],[[31.362503]],[20]
842,[[0.05446291 0.46726537 0.4782717 ]],[[0. 0. 1.]],[[41.90092]],[44]
843,[[0.21387887 0.39245215 0.39366898]],[[0. 0. 1.]],[[16.205921]],[8]
844,[[0.23962237 0.38874692 0.3716307 ]],[[1. 0. 0.]],[[16.218245]],[0]
845,[[0.04810586 0.50451183 0.44738227]],[[0. 1. 0.]],[[39.283566]],[22]
846,[[0.06434338 0.51489764 0.420759  ]],[[0. 1. 0.]],[[36.749527]],[8]
847,[[0.87816334 0.04223328 0.07960337]],[[1. 0. 0.]],[[-1.]],[0]
848,[[0.9968449  0.00192877 0.00122637]],[[1. 0. 0.]],[[-1.]],[0]
849,[[0.13081658 0.45781648 0.41136688]],[[0. 0. 1.]],[[25.195807]],[20]
850,[[0.09771533 0.46780735 0.43447733]],[[1. 0. 0.]],[[30.098019]],[0]
851,[[0.73977005 0.12522276 0.13500714]],[[1. 0. 0.]],[[-0.9974974]],[0]
852,[[0.1011458  0.47122055 0.42763364]],[[0. 0. 1.]],[[28.44156]],[24]
853,[[0.03880954 0.48732507 0.47386542]],[[0. 0. 1.]],[[50.119656]],[36]
854,[[0.5817894  0.19599132 0.2222193 ]],[[1. 0. 0.]],[[4.379678]],[0]
855,[[0.0688622  0.48177817 0.4493597 ]],[[0. 0. 1.]],[[34.145073]],[52]
856,[[0.10763266 0.46595934 0.426408  ]],[[0. 1. 0.]],[[26.69336]],[34]
857,[[0.4851355  0.29319718 0.22166727]],[[1. 0. 0.]],[[2.7121274]],[0]
858,[[0.1379834  0.4531581  0.40885854]],[[0. 0. 1.]],[[23.093872]],[22]
859,[[0.06506087 0.46604696 0.4688922 ]],[[1. 0. 0.]],[[43.427147]],[0]
860,[[0.13552411 0.45007685 0.41439903]],[[0. 1. 0.]],[[25.133192]],[40]
861,[[0.10358488 0.45789865 0.43851647]],[[0. 1. 0.]],[[28.487707]],[28]
862,[[0.0857155  0.4827038  0.43158075]],[[0. 0. 1.]],[[31.211208]],[30]
863,[[0.20957932 0.41067633 0.37974438]],[[0. 1. 0.]],[[18.599411]],[24]
864,[[0.0902685  0.47974858 0.42998293]],[[0. 0. 1.]],[[30.426695]],[38]
865,[[0.06599861 0.48776162 0.44623974]],[[0. 1. 0.]],[[35.540264]],[100]
866,[[0.40566522 0.29788408 0.2964507 ]],[[1. 0. 0.]],[[8.083482]],[0]
867,[[0.94751734 0.01942458 0.03305804]],[[0. 0. 1.]],[[-1.]],[4]
868,[[0.08737829 0.6088091  0.3038126 ]],[[1. 0. 0.]],[[52.611732]],[0]
869,[[0.07728771 0.48333097 0.43938133]],[[1. 0. 0.]],[[33.33897]],[0]
870,[[0.11274979 0.4788532  0.40839702]],[[0. 0. 1.]],[[27.5692]],[44]
871,[[0.97891027 0.00986103 0.01122871]],[[1. 0. 0.]],[[-1.]],[0]
872,[[0.07127915 0.4952383  0.4334825 ]],[[0. 1. 0.]],[[35.096275]],[8]
873,[[0.1418896  0.4422987  0.41581166]],[[0. 1. 0.]],[[23.758928]],[40]
874,[[0.10520287 0.46664974 0.42814735]],[[0. 0. 1.]],[[27.394041]],[16]
875,[[0.0029843  0.7020274  0.29498833]],[[0. 1. 0.]],[[87.91352]],[72]
876,[[0.35406616 0.32199278 0.32394108]],[[0. 1. 0.]],[[11.115552]],[4]
877,[[0.06343483 0.48887607 0.44768912]],[[0. 0. 1.]],[[34.78777]],[34]
878,[[0.08838846 0.47846025 0.43315133]],[[0. 0. 1.]],[[31.80522]],[28]
879,[[0.08024363 0.47367093 0.44608545]],[[0. 0. 1.]],[[31.898066]],[12]
880,[[0.8704479  0.06219336 0.06735872]],[[1. 0. 0.]],[[-0.99999905]],[0]
881,[[0.03551583 0.5215692  0.442915  ]],[[0. 0. 1.]],[[43.586926]],[52]
882,[[0.13930444 0.4503912  0.4103044 ]],[[0. 0. 1.]],[[24.166136]],[14]
883,[[0.03845081 0.4956983  0.46585086]],[[0. 1. 0.]],[[49.716007]],[26]
884,[[0.06907108 0.48951104 0.4414179 ]],[[0. 0. 1.]],[[33.411045]],[27]
885,[[0.09712577 0.4540271  0.44884714]],[[0. 0. 1.]],[[30.893194]],[24]
886,[[0.224089   0.40190005 0.37401092]],[[0. 1. 0.]],[[16.479292]],[12]
887,[[0.13794525 0.44273874 0.41931608]],[[1. 0. 0.]],[[23.812197]],[0]
888,[[0.08689938 0.46351576 0.44958484]],[[0. 0. 1.]],[[30.253407]],[29]
889,[[0.08111977 0.4697386  0.44914162]],[[0. 1. 0.]],[[33.77426]],[36]
890,[[0.05056432 0.49892893 0.45050678]],[[0. 1. 0.]],[[37.69099]],[24]
891,[[0.12600517 0.45874003 0.41525483]],[[0. 0. 1.]],[[24.397202]],[14]
892,[[0.16518252 0.4415702  0.39324734]],[[0. 0. 1.]],[[21.92344]],[36]
893,[[0.12410852 0.46342182 0.41246966]],[[0. 1. 0.]],[[26.761091]],[35]
894,[[0.8426127  0.05799178 0.09939552]],[[1. 0. 0.]],[[-1.]],[0]
895,[[0.0626694  0.47674936 0.46058127]],[[0. 1. 0.]],[[37.03765]],[46]
896,[[0.04390127 0.5122337  0.4438651 ]],[[0. 1. 0.]],[[39.230568]],[20]
897,[[0.06524637 0.5047066  0.430047  ]],[[0. 0. 1.]],[[34.64882]],[24]
898,[[0.2702435  0.38920859 0.34054792]],[[0. 0. 1.]],[[14.417711]],[6]
899,[[0.11619389 0.4494887  0.43431744]],[[1. 0. 0.]],[[28.426311]],[0]
900,[[0.04968287 0.49860522 0.45171186]],[[0. 0. 1.]],[[40.81458]],[36]
901,[[0.11905155 0.46947876 0.41146973]],[[0. 1. 0.]],[[26.595898]],[28]
902,[[0.7493492  0.12375764 0.12689322]],[[1. 0. 0.]],[[-0.99533725]],[0]
903,[[0.11106264 0.45731473 0.43162262]],[[0. 0. 1.]],[[27.107677]],[25]
904,[[0.08117831 0.46711782 0.4517039 ]],[[0. 1. 0.]],[[32.26243]],[42]
905,[[0.9445055  0.02754937 0.0279451 ]],[[1. 0. 0.]],[[-1.]],[0]
906,[[0.13760433 0.45708078 0.40531486]],[[0. 0. 1.]],[[23.172602]],[40]
907,[[0.10821299 0.46677953 0.4250075 ]],[[0. 0. 1.]],[[26.477152]],[14]
908,[[0.21602169 0.40860176 0.3753766 ]],[[1. 0. 0.]],[[16.29061]],[0]
909,[[0.9914881  0.00331743 0.0051944 ]],[[1. 0. 0.]],[[-1.]],[0]
910,[[0.14995249 0.4438094  0.4062382 ]],[[0. 0. 1.]],[[23.254229]],[16]
911,[[0.78844935 0.10368182 0.10786885]],[[1. 0. 0.]],[[-0.9947704]],[0]
912,[[0.1001861  0.47288463 0.42692924]],[[0. 0. 1.]],[[28.82051]],[38]
913,[[0.05970509 0.5031332  0.43716177]],[[0. 1. 0.]],[[36.46148]],[38]
914,[[0.13580479 0.44640556 0.41778967]],[[0. 0. 1.]],[[25.088171]],[14]
915,[[0.95841664 0.02310409 0.01847926]],[[1. 0. 0.]],[[-1.]],[0]
916,[[0.2506384  0.37644115 0.37292042]],[[1. 0. 0.]],[[17.927525]],[0]
917,[[0.06748187 0.51741683 0.41510135]],[[0. 0. 1.]],[[36.66869]],[40]
